,text_id,source_tokens,target_tokens,labels
347,AAEC_004,This was due to the lack of adequate controls by authorities and lead to a bad image of Thailand tourism,international tourism can create negative impacts on the destination countries,support
348,AAEC_004,"Take Thailand for example, in the Vietnam War, many American soldiers came to Thailand for a break and involved in sexual and drug activities, these huge demands caused many local businesses opened and expanded, even illegally involved in under-age prostitutes to maximize their profits",international tourism can create negative impacts on the destination countries,support
349,AAEC_004,tourists from different cultures will probably cause changes to the cultural identity of the tourist destinations,international tourism can create negative impacts on the destination countries,support
350,AAEC_004,"As the Australia’s Great Barrier Reef has shown, the billion visitors per annum has generated immense destruction to this nature wonder, namely breaking the corals caused by walking or throwing boat’s anchors, dropping fuel and other sorts of pollutions","many marine lives have been endangered, in the extremes part of the reef become uninhabitable for these marine species",support
351,AAEC_004,tourism increasingly create harms to the natural habitats of the destination appeals,tourism has threatened the nature environments,support
352,AAEC_004,"many marine lives have been endangered, in the extremes part of the reef become uninhabitable for these marine species",tourism has threatened the nature environments,support
353,AAEC_004,the tourism bring large profit for the destination countries,this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations,attack
354,AAEC_004,the tourism bring large profit for the destination countries,the tourism has created threatening pressure on both the sociocultural and natural environments,attack
355,AAEC_004,international tourism can create negative impacts on the destination countries,this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations,support
356,AAEC_004,international tourism can create negative impacts on the destination countries,the tourism has created threatening pressure on both the sociocultural and natural environments,support
357,AAEC_004,tourism has threatened the nature environments,this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations,support
358,AAEC_004,tourism has threatened the nature environments,the tourism has created threatening pressure on both the sociocultural and natural environments,support
359,AAEC_005,"Compared to the peers studying in the home country, it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life",studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures,support
360,AAEC_005,"One who is living overseas will of course struggle with loneliness, living away from family and friends",living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet,attack
361,AAEC_005,those difficulties will turn into valuable experiences in the following steps of life,"One who is living overseas will of course struggle with loneliness, living away from family and friends",attack
362,AAEC_005,the one will learn living without depending on anyone else,living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet,support
363,AAEC_005,employers are mostly looking for people who have international and language skills,one who has studied and lived overseas will become more eligible for the job than his/her peers,support
364,AAEC_005,Becoming successful in this study will give the student an edge in job market,one who has studied and lived overseas will become more eligible for the job than his/her peers,support
365,AAEC_005,studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures,one who studies overseas will gain many skills throughout this experience,support
366,AAEC_005,studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures,living and studying overseas gives the individual a new perspective on the subject that is studied or in general life,support
367,AAEC_005,living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet,one who studies overseas will gain many skills throughout this experience,support
368,AAEC_005,living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet,living and studying overseas gives the individual a new perspective on the subject that is studied or in general life,support
369,AAEC_005,one who has studied and lived overseas will become more eligible for the job than his/her peers,one who studies overseas will gain many skills throughout this experience,support
370,AAEC_005,one who has studied and lived overseas will become more eligible for the job than his/her peers,living and studying overseas gives the individual a new perspective on the subject that is studied or in general life,support
371,AAEC_005,there are many difficulties a student might face when studying and living overseas,one who studies overseas will gain many skills throughout this experience,attack
372,AAEC_005,there are many difficulties a student might face when studying and living overseas,living and studying overseas gives the individual a new perspective on the subject that is studied or in general life,attack
373,AAEC_006,Living in a new country requires a great amount of flexibility and adaptability in one's character,students who study outside their countries can get a lot of experience living in a foreign country,support
374,AAEC_006,students might face many challenges in the host country,they should be able to deal with the obstacles that they may encounter,support
375,AAEC_006,Overcoming problems teaches the students how to be more mature and self-independence,they should be able to deal with the obstacles that they may encounter,support
376,AAEC_006,they should be able to deal with the obstacles that they may encounter,students who study outside their countries can get a lot of experience living in a foreign country,support
377,AAEC_006,they will get exposed to a different educational system,the new academic experience that the students can obtain at the institution where they are pursuing their studies,support
378,AAEC_006,They will meet new professors and new classmates which makes the academic experience different from that in their home country,the new academic experience that the students can obtain at the institution where they are pursuing their studies,support
379,AAEC_006,"While living in a foreign country, students can learn a lot about the culture of that country",Most important is the cultural aspect of the experience,support
380,AAEC_006,they can meet different people of the country,Most important is the cultural aspect of the experience,support
381,AAEC_006,"They can learn about their way of thinking, their customs and traditions, and way of life",Most important is the cultural aspect of the experience,support
382,AAEC_006,Learning about others' cultures is so important,Most important is the cultural aspect of the experience,support
383,AAEC_006,It contributes in building a new understanding in us of how we see the world,Learning about others' cultures is so important,support
384,AAEC_006,"It makes us more open, and willing to accept different ideas and thoughts",Learning about others' cultures is so important,support
385,AAEC_006,it educates us about the world we are living in,Learning about others' cultures is so important,support
386,AAEC_006,"Students gain a lot out of the experience personally, academically, and culturally",studying abroad has many advantages,support
387,AAEC_006,"Students gain a lot out of the experience personally, academically, and culturally","studying abroad does not only have advantages, but also can change us in a very positive way",support
388,AAEC_006,students who study outside their countries can get a lot of experience living in a foreign country,studying abroad has many advantages,support
389,AAEC_006,students who study outside their countries can get a lot of experience living in a foreign country,"studying abroad does not only have advantages, but also can change us in a very positive way",support
390,AAEC_006,the new academic experience that the students can obtain at the institution where they are pursuing their studies,studying abroad has many advantages,support
391,AAEC_006,the new academic experience that the students can obtain at the institution where they are pursuing their studies,"studying abroad does not only have advantages, but also can change us in a very positive way",support
392,AAEC_006,Most important is the cultural aspect of the experience,studying abroad has many advantages,support
393,AAEC_006,Most important is the cultural aspect of the experience,"studying abroad does not only have advantages, but also can change us in a very positive way",support
394,AAEC_021,The product also should satisfy the needs of the consumers,The most effective way to convince consumers to purchase a product is through advertising,support
395,AAEC_021,it is not sufficient in itself,The most effective way to convince consumers to purchase a product is through advertising,support
396,AAEC_021,We are mainly introduced to products through advertisements,advertisers push the limits of creativity to dispose the consumers to purchase the product,support
397,AAEC_021,"Recently, there is a very creative advertisements of a soft drink product on TV",the number of that product being sold will increases,support
