,text_id,component_tokens,labels
2614,AbstRCT_neoplasm_21892106,The overall response rate was 51% in arm A and 38% in arm B (p = 0.147).,Premise
2615,AbstRCT_neoplasm_21892106,Grade 3/4 toxicity in both arms was acceptable.,Premise
2616,AbstRCT_neoplasm_21892106,"There was no difference in median progression-free survival between the two arms (5.5 versus 5.0 months, p = 0.19).",Premise
2617,AbstRCT_neoplasm_21892106,Patients in arm A had longer median survival,Premise
2618,AbstRCT_neoplasm_21892106,"but this did not reach statistical significance (13.1 versus 8.3 months, p = 0.25).",Premise
2619,AbstRCT_neoplasm_21892106,No difference in quality of life was observed.,Claim
2620,AbstRCT_neoplasm_21892106,"radiation therapy alone as it demonstrated a response rate greater than 50%, and data suggested that arm A had superior survival to arm B.",Claim
2621,AbstRCT_neoplasm_11370551,"In recent years, encouraging results of preoperative radiotherapy have been reported.",Claim
2622,AbstRCT_neoplasm_11370551,Postoperative radiochemotherapy is recommended for patients with advanced disease (pT3/4 or pN+).,Claim
2623,AbstRCT_neoplasm_11370551,"Acute toxicity (WHO) of radiochemotherapy was low, with less than 15% of patients experiencing Grade 3 or higher toxicity",Premise
2624,AbstRCT_neoplasm_11370551,"The principal toxicity was diarrhea, with 12% in the postoperative radiochemotherapy arm and 10% in the preoperative radiochemotherapy arm having Grade-3, and 1% in either arm having Grade-4 diarrhea.",Premise
2625,AbstRCT_neoplasm_11370551,"Erythema, nausea and leukopenia were the next common toxicities, with less than 3% of patients in either arm suffering Grade 3 or greater leukopenia or nausea.",Premise
2626,AbstRCT_neoplasm_11370551,"Postoperative complication rates were similar in both arms, with 12% (postoperative radiochemotherapy) and 13% (preoperative radiochemotherapy) of patients, respectively, suffering from anastomotic leakage, 4% (postoperative radiochemotherapy) and 3% (preoperative radiochemotherapy) from postoperative bleeding, and 6% (postoperative radiochemotherapy) and 5% (preoperative radiochemotherapy) from delayed wound healing.",Premise
2627,AbstRCT_neoplasm_11370551,"The patient accrual of our trial is satisfactory,",Claim
2628,AbstRCT_neoplasm_11370551,neoadjuvant radiochemotherapy is well tolerated and bears no higher risk for postoperative morbidity.,Claim
2629,AbstRCT_neoplasm_20585099,"Male sexual dysfunction was significantly increased following surgery (P < .001),",Premise
2630,AbstRCT_neoplasm_20585099,although there was no difference between treatment arms.,Premise
2631,AbstRCT_neoplasm_20585099,"Both treatment groups reported similar levels of decreased physical function at 3 months,",Premise
2632,AbstRCT_neoplasm_20585099,but thereafter it returned to baseline levels.,Premise
2633,AbstRCT_neoplasm_20585099,"There was no evidence of any major changes between treatments or time points in terms of general health or bowel function,",Premise
2634,AbstRCT_neoplasm_20585099,but exploratory analysis indicated a significant (P = .006 at 2 years) increase in the level of fecal incontinence with PRE.,Premise
2635,AbstRCT_neoplasm_20585099,"These results from a large randomized trial using validated patient-completed questionnaires show that, for males, the main adverse effect was sexual dysfunction, and the main cause of this was surgery,",Claim
2636,AbstRCT_neoplasm_20585099,PRE also affected sexual and some aspects of bowel functioning.,Claim
2637,AbstRCT_neoplasm_20734132,Upper limb volumes were also lower amongst intervention group participants.,Premise
2638,AbstRCT_neoplasm_20734132,"Participants in the intervention group demonstrated greater improvement in health-related quality of life between baseline and the 3-month assessment [mean (sd) EQ-5D VAS (0-100) baseline: 72.6 (15.6), 3 month: 80.6 (11.6)] when compared to control group participants [baseline: 77.5 (13.5), 3 month: 74.1 (20.6), P = 0.006] and also improved more in terms of physical function [mean (sd) EORTC C30 physical function scale intervention (0-100) baseline: 84.9 (14.8), 3 month: 86.9 (10.7), control baseline: 91.3 (9.6), 3 month: 86.7 (14.9), P = 0.02].",Premise
2639,AbstRCT_neoplasm_20734132,there was low probability that the intervention would be both less costly and more effective than the control condition (range probability = 0.05-50.02% depending on approach).,Premise
2640,AbstRCT_neoplasm_20734132,Provision of multimodal exercise programs will improve the short-term health of women undergoing adjuvant therapy for breast cancer but are of questionable economic efficiency.,Claim
2641,AbstRCT_neoplasm_12721238,"Androgen deprivation therapy is a common treatment in men with prostate cancer that may cause fatigue, functional decline, increased body fatness, and loss of lean body tissue.",Claim
2642,AbstRCT_neoplasm_12721238,These physical changes can negatively affect health-related quality of life.,Claim
2643,AbstRCT_neoplasm_12721238,"Resistance exercise may help to counter some of these side effects by reducing fatigue, elevating mood, building muscle mass, and reducing body fat.",Claim
2644,AbstRCT_neoplasm_12721238,Men assigned to resistance exercise had less interference from fatigue on activities of daily living (P =.002) and higher quality of life (P =.001) than men in the control group.,Premise
2645,AbstRCT_neoplasm_12721238,Men in the intervention group demonstrated higher levels of upper body (P =.009) and lower body (P <.001) muscular fitness than men in the control group.,Premise
2646,AbstRCT_neoplasm_12721238,"The 12-week resistance exercise intervention did not improve body composition as measured by changes in body weight, body mass index, waist circumference, or subcutaneous skinfolds.",Premise
2647,AbstRCT_neoplasm_12721238,Resistance exercise reduces fatigue and improves quality of life and muscular fitness in men with prostate cancer receiving androgen deprivation therapy.,Claim
