,text_id,component_tokens,labels
1065,AAEC_004,this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations,MajorClaim
1066,AAEC_004,the tourism has created threatening pressure on both the sociocultural and natural environments,MajorClaim
1067,AAEC_004,the tourism bring large profit for the destination countries,Claim
1068,AAEC_004,international tourism can create negative impacts on the destination countries,Claim
1069,AAEC_004,tourism has threatened the nature environments,Claim
1070,AAEC_004,tourists from different cultures will probably cause changes to the cultural identity of the tourist destinations,Premise
1071,AAEC_004,"Take Thailand for example, in the Vietnam War, many American soldiers came to Thailand for a break and involved in sexual and drug activities, these huge demands caused many local businesses opened and expanded, even illegally involved in under-age prostitutes to maximize their profits",Premise
1072,AAEC_004,This was due to the lack of adequate controls by authorities and lead to a bad image of Thailand tourism,Premise
1073,AAEC_004,tourism increasingly create harms to the natural habitats of the destination appeals,Premise
1074,AAEC_004,"As the Australia’s Great Barrier Reef has shown, the billion visitors per annum has generated immense destruction to this nature wonder, namely breaking the corals caused by walking or throwing boat’s anchors, dropping fuel and other sorts of pollutions",Premise
1075,AAEC_004,"many marine lives have been endangered, in the extremes part of the reef become uninhabitable for these marine species",Premise
1076,AAEC_005,one who studies overseas will gain many skills throughout this experience,MajorClaim
1077,AAEC_005,living and studying overseas gives the individual a new perspective on the subject that is studied or in general life,MajorClaim
1078,AAEC_005,studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures,Claim
1079,AAEC_005,living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet,Claim
1080,AAEC_005,one who has studied and lived overseas will become more eligible for the job than his/her peers,Claim
1081,AAEC_005,"Compared to the peers studying in the home country, it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life",Premise
1082,AAEC_005,"One who is living overseas will of course struggle with loneliness, living away from family and friends",Premise
1083,AAEC_005,those difficulties will turn into valuable experiences in the following steps of life,Premise
1084,AAEC_005,the one will learn living without depending on anyone else,Premise
1085,AAEC_005,employers are mostly looking for people who have international and language skills,Premise
1086,AAEC_005,Becoming successful in this study will give the student an edge in job market,Premise
1087,AAEC_005,there are many difficulties a student might face when studying and living overseas,Claim
1088,AAEC_006,studying abroad has many advantages,MajorClaim
1089,AAEC_006,"studying abroad does not only have advantages, but also can change us in a very positive way",MajorClaim
1090,AAEC_006,"Students gain a lot out of the experience personally, academically, and culturally",Claim
1091,AAEC_006,students who study outside their countries can get a lot of experience living in a foreign country,Claim
1092,AAEC_006,the new academic experience that the students can obtain at the institution where they are pursuing their studies,Claim
1093,AAEC_006,Most important is the cultural aspect of the experience,Claim
1094,AAEC_006,Living in a new country requires a great amount of flexibility and adaptability in one's character,Premise
1095,AAEC_006,students might face many challenges in the host country,Premise
1096,AAEC_006,they should be able to deal with the obstacles that they may encounter,Premise
1097,AAEC_006,Overcoming problems teaches the students how to be more mature and self-independence,Premise
1098,AAEC_006,they will get exposed to a different educational system,Premise
1099,AAEC_006,They will meet new professors and new classmates which makes the academic experience different from that in their home country,Premise
1100,AAEC_006,"While living in a foreign country, students can learn a lot about the culture of that country",Premise
1101,AAEC_006,they can meet different people of the country,Premise
1102,AAEC_006,"They can learn about their way of thinking, their customs and traditions, and way of life",Premise
1103,AAEC_006,Learning about others' cultures is so important,Premise
