,text_id,source_tokens,target_tokens,labels
2057,AbstRCT_neoplasm_21892106,"but this did not reach statistical significance (13.1 versus 8.3 months, p = 0.25).",Patients in arm A had longer median survival,Attack
2058,AbstRCT_neoplasm_21892106,The overall response rate was 51% in arm A and 38% in arm B (p = 0.147).,"radiation therapy alone as it demonstrated a response rate greater than 50%, and data suggested that arm A had superior survival to arm B.",Support
2059,AbstRCT_neoplasm_21892106,Patients in arm A had longer median survival,"radiation therapy alone as it demonstrated a response rate greater than 50%, and data suggested that arm A had superior survival to arm B.",Support
2060,AbstRCT_neoplasm_21892106,Grade 3/4 toxicity in both arms was acceptable.,No difference in quality of life was observed.,Support
2061,AbstRCT_neoplasm_21892106,"There was no difference in median progression-free survival between the two arms (5.5 versus 5.0 months, p = 0.19).","radiation therapy alone as it demonstrated a response rate greater than 50%, and data suggested that arm A had superior survival to arm B.",Attack
2062,AbstRCT_neoplasm_11370551,"Acute toxicity (WHO) of radiochemotherapy was low, with less than 15% of patients experiencing Grade 3 or higher toxicity",neoadjuvant radiochemotherapy is well tolerated and bears no higher risk for postoperative morbidity.,Support
2063,AbstRCT_neoplasm_11370551,"The principal toxicity was diarrhea, with 12% in the postoperative radiochemotherapy arm and 10% in the preoperative radiochemotherapy arm having Grade-3, and 1% in either arm having Grade-4 diarrhea.",neoadjuvant radiochemotherapy is well tolerated and bears no higher risk for postoperative morbidity.,Support
2064,AbstRCT_neoplasm_11370551,"Erythema, nausea and leukopenia were the next common toxicities, with less than 3% of patients in either arm suffering Grade 3 or greater leukopenia or nausea.",neoadjuvant radiochemotherapy is well tolerated and bears no higher risk for postoperative morbidity.,Support
2065,AbstRCT_neoplasm_11370551,"Postoperative complication rates were similar in both arms, with 12% (postoperative radiochemotherapy) and 13% (preoperative radiochemotherapy) of patients, respectively, suffering from anastomotic leakage, 4% (postoperative radiochemotherapy) and 3% (preoperative radiochemotherapy) from postoperative bleeding, and 6% (postoperative radiochemotherapy) and 5% (preoperative radiochemotherapy) from delayed wound healing.",neoadjuvant radiochemotherapy is well tolerated and bears no higher risk for postoperative morbidity.,Support
2066,AbstRCT_neoplasm_20585099,"Male sexual dysfunction was significantly increased following surgery (P < .001),","These results from a large randomized trial using validated patient-completed questionnaires show that, for males, the main adverse effect was sexual dysfunction, and the main cause of this was surgery,",Support
2067,AbstRCT_neoplasm_20585099,although there was no difference between treatment arms.,"Male sexual dysfunction was significantly increased following surgery (P < .001),",Partial-Attack
2068,AbstRCT_neoplasm_20585099,but thereafter it returned to baseline levels.,"Both treatment groups reported similar levels of decreased physical function at 3 months,",Attack
2069,AbstRCT_neoplasm_20585099,"Both treatment groups reported similar levels of decreased physical function at 3 months,","These results from a large randomized trial using validated patient-completed questionnaires show that, for males, the main adverse effect was sexual dysfunction, and the main cause of this was surgery,",Support
2070,AbstRCT_neoplasm_20585099,"There was no evidence of any major changes between treatments or time points in terms of general health or bowel function,",PRE also affected sexual and some aspects of bowel functioning.,Attack
2071,AbstRCT_neoplasm_20585099,but exploratory analysis indicated a significant (P = .006 at 2 years) increase in the level of fecal incontinence with PRE.,"There was no evidence of any major changes between treatments or time points in terms of general health or bowel function,",Attack
2072,AbstRCT_neoplasm_20734132,Upper limb volumes were also lower amongst intervention group participants.,Provision of multimodal exercise programs will improve the short-term health of women undergoing adjuvant therapy for breast cancer but are of questionable economic efficiency.,Support
2073,AbstRCT_neoplasm_20734132,"Participants in the intervention group demonstrated greater improvement in health-related quality of life between baseline and the 3-month assessment [mean (sd) EQ-5D VAS (0-100) baseline: 72.6 (15.6), 3 month: 80.6 (11.6)] when compared to control group participants [baseline: 77.5 (13.5), 3 month: 74.1 (20.6), P = 0.006] and also improved more in terms of physical function [mean (sd) EORTC C30 physical function scale intervention (0-100) baseline: 84.9 (14.8), 3 month: 86.9 (10.7), control baseline: 91.3 (9.6), 3 month: 86.7 (14.9), P = 0.02].",Provision of multimodal exercise programs will improve the short-term health of women undergoing adjuvant therapy for breast cancer but are of questionable economic efficiency.,Support
2074,AbstRCT_neoplasm_20734132,there was low probability that the intervention would be both less costly and more effective than the control condition (range probability = 0.05-50.02% depending on approach).,Provision of multimodal exercise programs will improve the short-term health of women undergoing adjuvant therapy for breast cancer but are of questionable economic efficiency.,Support
2075,AbstRCT_neoplasm_12721238,Men assigned to resistance exercise had less interference from fatigue on activities of daily living (P =.002) and higher quality of life (P =.001) than men in the control group.,Resistance exercise reduces fatigue and improves quality of life and muscular fitness in men with prostate cancer receiving androgen deprivation therapy.,Support
2076,AbstRCT_neoplasm_12721238,Resistance exercise reduces fatigue and improves quality of life and muscular fitness in men with prostate cancer receiving androgen deprivation therapy.,This form of exercise can be an important component of supportive care for these patients.,Support
2077,AbstRCT_neoplasm_16505413,"For HAI patients with thymidylate synthase levels in tumor less than or > or = 4, the median survival was 24 and 14 months, respectively (P = .17).","HAI therapy increased overall survival, response rate, THP, and was associated with better physical functioning compared with systemic therapy.",Support
2078,AbstRCT_neoplasm_16505413,"A greater proportion of men versus women receiving HAI experienced biliary toxicity (37% and 15%, respectively; P = .05).","HAI therapy increased overall survival, response rate, THP, and was associated with better physical functioning compared with systemic therapy.",Support
2079,AbstRCT_neoplasm_16505413,Quality-of-life measurements showed improved physical functioning in the HAI group at the 3- and 6-month follow-up assessments.,"HAI therapy increased overall survival, response rate, THP, and was associated with better physical functioning compared with systemic therapy.",Support
2080,AbstRCT_neoplasm_16505413,"Toxicity included grade > or = 3 neutropenia (2% and 45%; P < .01), stomatitis (0% and 24%; P < .01), and bilirubin elevation (18.6% and 0; P < .01) in the HAI and systemic treatment groups, respectively.","HAI therapy increased overall survival, response rate, THP, and was associated with better physical functioning compared with systemic therapy.",Support
2081,AbstRCT_neoplasm_16505413,Time to extrahepatic progression (7.7 v 14.8 months; P = .029) was significantly shorter in the HAI group.,"HAI therapy increased overall survival, response rate, THP, and was associated with better physical functioning compared with systemic therapy.",Support
2082,AbstRCT_neoplasm_16505413,"Overall survival was significantly longer for HAI versus systemic treatment (median, 24.4 v 20 months; P = .0034), as were response rates (47% and 24%; P = .012) and time to hepatic progression (THP; 9.8 v 7.3 months; P = .034).","HAI therapy increased overall survival, response rate, THP, and was associated with better physical functioning compared with systemic therapy.",Support
2083,AbstRCT_neoplasm_17876009,Additional research should examine the benefits of stress management training targeted specifically to patients experiencing heightened distress.,This study found that self-administered stress management training is effective only in those radiotherapy patients with initially higher levels of psychological distress.,Partial-Attack
2084,AbstRCT_neoplasm_17876009,"Overall, patients assigned to receive stress management training did not report significantly less psychological distress on the Medical Outcomes Study 36-Item Short Form (SF-36) Mental Component Summary Scale than did those assigned to usual care.",This study found that self-administered stress management training is effective only in those radiotherapy patients with initially higher levels of psychological distress.,Support
2085,AbstRCT_neoplasm_17876009,patients with above-average levels of psychological distress (scores < or = 50) who were randomly assigned to the intervention condition reported significant improvement in their distress compared with those assigned to usual care only on the SF-36 Mental Health Subscale and the Center for Epidemiologic Studies Depression Scale.,This study found that self-administered stress management training is effective only in those radiotherapy patients with initially higher levels of psychological distress.,Support
2086,AbstRCT_neoplasm_18669464,"Patients receiving sunitinib reported higher FKSI-15 and FKSI-DRS scores at each cycle than those receiving IFN-alpha, with a significant difference in the overall least squares means (3.27 and 1.98, respectively; P < .0001).",Sunitinib provides superior QOL compared with IFN-alpha in mRCC patients.,Support
2087,AbstRCT_neoplasm_18669464,"differences in least squares means for FACT-G (and all subscales), EQ-5D Index, and EQ-VAS were all significantly favorable for sunitinib (P < .01).",Sunitinib provides superior QOL compared with IFN-alpha in mRCC patients.,Support
2088,AbstRCT_neoplasm_11438417,"The threshold analyses showed that, whatever the utility weights, the mean Q-TWIST was always greater with ChOP or fludarabine as compared to CAP.",patients with advanced CLL have a moderate benefit in terms of Q-TWIST when treated with fludarabine over ChOP.,Support
2089,AbstRCT_neoplasm_11438417,"The mean TWIST was 27.05 months with CAP, 31.5 months with ChOP and 32.95 months with fludarabine.",These two treatments are always superior to CAP.,Support
2090,AbstRCT_neoplasm_11438417,"Over 73 months after randomization, the fludarabine group gained a mean of 45 days of toxicity-free survival at CAP, and 61 days over ChOP.",These two treatments are always superior to CAP.,Support
2091,AbstRCT_neoplasm_11438417,except in the unlikely case of high utility weights attributed to toxicity and low utility weights attributed to treatment.,"Fludarabine was consistently a better treatment than ChOP,",Partial-Attack
2092,AbstRCT_neoplasm_11438417,"from a clinical point of view, differences between ChOP and fludarabine were moderate or event slight (mean difference in TWIST of 1.45 months).","Fludarabine was consistently a better treatment than ChOP,",Support
2093,AbstRCT_neoplasm_23615094,Symptom and QoL development did not differ significantly between the groups.,Symptoms and QoL seem not to be significantly affected by GKRS.,Support
2094,AbstRCT_neoplasm_23615094,There was a significant reduction in tumor volume over time in the GKRS group.,"In VS patients, GKRS reduces the tumor growth rate and thereby the incidence rate of new treatment about tenfold.",Support
2095,AbstRCT_neoplasm_23615094,"Serviceable hearing was lost in 54 of 71 (76%) (CM) and 34 of 53 (64%) (GKRS) patients during the study period (not significant, log-rank test).",Hearing is lost at similar rates in both groups.,Support
2096,AbstRCT_neoplasm_23814044,"Systemic side effect (SE) change scores were significantly improved for TCH-treated patients compared with AC→TH and AC→T at EOC, suggesting improved tolerability.",HRQL outcomes for adjuvant docetaxel and trastuzumab-based regimens are favorable and support TCH as a more tolerable treatment option.,Support
2097,AbstRCT_neoplasm_23814044,"Physical functioning (PF) was only slightly worse at midpoint for those receiving TCH, compared with patients who were just starting on taxane in an AC→TH regimen, but was otherwise similar between arms.",HRQL outcomes for adjuvant docetaxel and trastuzumab-based regimens are favorable and support TCH as a more tolerable treatment option.,Support
2098,AbstRCT_neoplasm_23814044,"Physical functioning (PF) was only slightly worse at midpoint for those receiving TCH, compared with patients who were just starting on taxane in an AC→TH regimen, but was otherwise similar between arms.","All treatment arms recovered from the deterioration in SE, PF, and Global Health Scale scores by 1 year and median future perspective change scores continued to improve throughout treatment and follow-up.",Support
2099,AbstRCT_neoplasm_23814044,"Systemic side effect (SE) change scores were significantly improved for TCH-treated patients compared with AC→TH and AC→T at EOC, suggesting improved tolerability.","All treatment arms recovered from the deterioration in SE, PF, and Global Health Scale scores by 1 year and median future perspective change scores continued to improve throughout treatment and follow-up.",Support
2100,AbstRCT_neoplasm_9640214,Significant benefit in body image and satisfaction with treatment was observed in the BCT patients.,"In this multicentre randomised study, BCT helped to maintain the patients' body image, resulted in higher satisfaction with treatment and yielded no significant difference from MRM with respect to fear of recurrence.",Support
2101,AbstRCT_neoplasm_9640214,No significant difference was observed in fear of recurrence between the two groups.,"In this multicentre randomised study, BCT helped to maintain the patients' body image, resulted in higher satisfaction with treatment and yielded no significant difference from MRM with respect to fear of recurrence.",Support
2102,AbstRCT_neoplasm_9640214,"The Cronbach's alpha coefficients were 0.79 and 0.73 for the body image and fear of recurrence scales, respectively.","In this multicentre randomised study, BCT helped to maintain the patients' body image, resulted in higher satisfaction with treatment and yielded no significant difference from MRM with respect to fear of recurrence.",Support
2103,AbstRCT_neoplasm_9640214,"Ratings of cosmetic results decreased with time, in line with clinical observations of long-term side-effects of radiotherapy.","In this multicentre randomised study, BCT helped to maintain the patients' body image, resulted in higher satisfaction with treatment and yielded no significant difference from MRM with respect to fear of recurrence.",Partial-Attack
2104,AbstRCT_neoplasm_24007947,the present data do not support a quality of life benefit with epidural analgesia.,Analgesia and early quality of recovery may be improved by epidural analgesia.,Attack
